CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
87283Q 82 6,,T ROWE PRICE ETF INC,SMALL MID CAP,
87283Q 83 4,,T ROWE PRICE ETF INC,INTERNATIONAL EQ,
87283Q 84 2,,T ROWE PRICE ETF INC,GROWTH ETF,
87283Q 85 9,,T ROWE PRICE ETF INC,VALUE ETF,
87283Q 86 7,,T ROWE PRICE ETF INC,CAP APPRECIATION,
87283Q 87 5,,T ROWE PRICE ETF INC,US HIGH YIELD,
87283Q 88 3,,T ROWE PRICE ETF INC,FLOATING RATE,
872885 20 7,,TSR INC,COM,
873048 40 9,,T STAMP INC,CL A NEW,
87305R 10 9,*,TTM TECHNOLOGIES INC,COM,
87305R 90 9,,TTM TECHNOLOGIES INC,CALL,
87305R 95 9,,TTM TECHNOLOGIES INC,PUT,
87313P 10 3,,TXO PARTNERS  LP,COM UNIT,
873379 AA 9,,TABULA RASA HEALTHCARE INC,NOTE  1.750% 2/1,DELETED
873379 10 1,*,TABULA RASA HEALTHCARE INC,COM,DELETED
873379 90 1,,TABULA RASA HEALTHCARE INC,CALL,DELETED
873379 95 1,,TABULA RASA HEALTHCARE INC,PUT,DELETED
87357P 10 0,*,TACTILE SYS TECHNOLOGY INC,COM,
874039 10 0,*,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,
874039 90 0,,TAIWAN SEMICONDUCTOR MFG LTD,CALL,
874039 95 0,,TAIWAN SEMICONDUCTOR MFG LTD,PUT,
874054 10 9,*,TAKE-TWO INTERACTIVE SOFTWAR,COM,
874054 90 9,,TAKE-TWO INTERACTIVE SOFTWAR,CALL,
874054 95 9,,TAKE-TWO INTERACTIVE SOFTWAR,PUT,
874060 20 5,*,TAKEDA PHARMACEUTICAL CO LTD,SPONSORED ADS,
874060 90 5,,TAKEDA PHARMACEUTICAL CO LTD,CALL,
874060 95 5,,TAKEDA PHARMACEUTICAL CO LTD,PUT,
874080 10 4,*,TAL EDUCATION GROUP,SPONSORED ADS,
874080 90 4,,TAL EDUCATION GROUP,CALL,
874080 95 4,,TAL EDUCATION GROUP,PUT,
87410C 10 4,,TALARIS THERAPEUTICS INC,COM,DELETED
87424L 20 7,*,TALIS BIOMEDICAL CORP,COM NEW,
87424L 90 7,,TALIS BIOMEDICAL CORP,CALL,
87424L 95 7,,TALIS BIOMEDICAL CORP,PUT,
87427V 10 3,*,TALKSPACE INC,COM,
87427V 90 3,,TALKSPACE INC,CALL,
87427V 95 3,,TALKSPACE INC,PUT,
87427V 11 1,,TALKSPACE INC,*W EXP 06/21/202,
87484T 10 8,*,TALOS ENERGY INC,COM,
87484T 90 8,,TALOS ENERGY INC,CALL,
87484T 95 8,,TALOS ENERGY INC,PUT,
875372 AB 0,,TANDEM DIABETES CARE INC,NOTE  1.500% 5/0,ADDED
875372 20 3,*,TANDEM DIABETES CARE INC,COM NEW,
875372 90 3,,TANDEM DIABETES CARE INC,CALL,
875372 95 3,,TANDEM DIABETES CARE INC,PUT,
87538X 10 5,,TANDY LEATHER FACTORY INC,COM,
875465 10 6,*,TANGER INC,COM,
877619 10 6,*,TAYSHA GENE THERAPIES INC,COM SHS,
877619 90 6,,TAYSHA GENE THERAPIES INC,CALL,
877619 95 6,,TAYSHA GENE THERAPIES INC,PUT,
87807B 10 7,*,TC ENERGY CORP,COM,
87807B 90 7,,TC ENERGY CORP,CALL,
87807B 95 7,,TC ENERGY CORP,PUT,
87807D 11 1,,TC BIOPHARM HOLDINGS PLC,*W EXP 02/10/202,
87807D 20 2,,TC BIOPHARM HOLDINGS PLC,SPONSORD ADS NEW,DELETED
87807D 40 0,,TC BIOPHARM HOLDINGS PLC,SPONSORED ADR,ADDED
878155 30 8,,TEAM INC,COM NEW,
878739 20 0,,TECHPRECISION CORP,COM NEW,
87874R AB 6,,TECHTARGET INC,NOTE  0.125%12/1,
87874R AD 2,,TECHTARGET INC,NOTE12/1,
87874R 10 0,*,TECHTARGET INC,COM,
87874R 90 0,,TECHTARGET INC,CALL,
87874R 95 0,,TECHTARGET INC,PUT,
878742 20 4,*,TECK RESOURCES LTD,CL B,
878742 90 4,,TECK RESOURCES LTD,CALL,
878742 95 4,,TECK RESOURCES LTD,PUT,
87901J 10 5,*,TEGNA INC,COM,
87901J 90 5,,TEGNA INC,CALL,
87901J 95 5,,TEGNA INC,PUT,
879080 10 9,*,TEJON RANCH CO,COM,
879080 90 9,,TEJON RANCH CO,CALL,
879080 95 9,,TEJON RANCH CO,PUT,
879105 10 4,,ABRDN HEALTHCARE OPPORTUNITI,SHS,
87911J 10 3,,ABRDN HEALTHCARE INVESTORS,SH BEN INT,
87911K 10 0,,ABRDN LIFE SCIENCES INVESTOR,SH BEN INT,
87911L 10 8,,ABRDN WORLD HEALTHCARE FUND,BEN INT SHS,
87918A AC 9,,TELADOC HEALTH INC,NOTE  1.375% 5/1,
87918A AF 2,,TELADOC HEALTH INC,NOTE  1.250% 6/0,
87918A 10 5,*,TELADOC HEALTH INC,COM,
87918A 90 5,,TELADOC HEALTH INC,CALL,
87918A 95 5,,TELADOC HEALTH INC,PUT,
879273 20 9,*,TELECOM ARGENTINA SA,SPON ADR REP B,
879273 90 9,,TELECOM ARGENTINA SA,CALL,
879273 95 9,,TELECOM ARGENTINA SA,PUT,
87936R 20 5,*,TELEFONICA BRASIL SA,NEW ADR,
87936R 90 5,,TELEFONICA BRASIL SA,CALL,
87936R 95 5,,TELEFONICA BRASIL SA,PUT,
879360 10 5,*,TELEDYNE TECHNOLOGIES INC,COM,
879360 90 5,,TELEDYNE TECHNOLOGIES INC,CALL,
879360 95 5,,TELEDYNE TECHNOLOGIES INC,PUT,
879369 10 6,*,TELEFLEX INCORPORATED,COM,
879369 90 6,,TELEFLEX INCORPORATED,CALL,
879369 95 6,,TELEFLEX INCORPORATED,PUT,
879382 20 8,*,TELEFONICA S A,SPONSORED ADR,
879382 90 8,,TELEFONICA S A,CALL,
879382 95 8,,TELEFONICA S A,PUT,
879433 82 9,*,TELEPHONE & DATA SYS INC,COM NEW,
879433 90 9,,TELEPHONE & DATA SYS INC,CALL,
879433 95 9,,TELEPHONE & DATA SYS INC,PUT,
879512 30 9,*,TELESAT CORP,CL A & CL B SHS,
879512 90 9,,TELESAT CORP,CALL,
879512 95 9,,TELESAT CORP,PUT,
87968A 10 4,*,TELLURIAN INC NEW,COM,
87968A 90 4,,TELLURIAN INC NEW,CALL,
87968A 95 4,,TELLURIAN INC NEW,PUT,
87969B 10 1,*,TELOS CORP MD,COM,
87969B 90 1,,TELOS CORP MD,CALL,
87969B 95 1,,TELOS CORP MD,PUT,
87971M 10 3,*,TELUS CORPORATION,COM,
87971M 90 3,,TELUS CORPORATION,CALL,
87971M 95 3,,TELUS CORPORATION,PUT,
87975E 10 7,,TEMA ETF TRUST,MONOPOLIES & OLI,
87975E 30 5,,TEMA ETF TRUST,LUXURY ETF,
87975E 40 4,,TEMA ETF TRUST,GLOBAL RLTY ETF,
87975E 60 2,,TEMA ETF TRUST,AMERICAN RESH,
87975H 90 0,,TELUS INTL CDA INC,CALL,
87975H 95 0,,TELUS INTL CDA INC,PUT,
87978U 10 8,*,TEMPEST THERAPEUTICS INC,COM,
87978U 90 8,,TEMPEST THERAPEUTICS INC,CALL,
87978U 95 8,,TEMPEST THERAPEUTICS INC,PUT,
87990A 10 6,*,TENAYA THERAPEUTICS INC,COM,
87990A 90 6,,TENAYA THERAPEUTICS INC,CALL,
87990A 95 6,,TENAYA THERAPEUTICS INC,PUT,
88018T 10 1,,TEMPLETON DRAGON FD INC,COM,
880191 10 1,,TEMPLETON EMERGING MKTS FD,COM,
880192 10 9,,TEMPLETON EMERGING MKTS INCO,COM,
880198 10 6,,TEMPLETON GLOBAL INCOME FD,COM,
88023U 10 1,*,TEMPUR SEALY INTL INC,COM,
88023U 90 1,,TEMPUR SEALY INTL INC,CALL,
88023U 95 1,,TEMPUR SEALY INTL INC,PUT,
88024M 10 8,*,TEMPO AUTOMATION HOLDINGS IN,COM,DELETED
88024M 90 8,,TEMPO AUTOMATION HOLDINGS IN,CALL,DELETED
88024M 95 8,,TEMPO AUTOMATION HOLDINGS IN,PUT,DELETED
88024M 11 6,,TEMPO AUTOMATION HOLDINGS IN,*W EXP 09/30/202,DELETED
88034P 10 9,*,TENCENT MUSIC ENTMT GROUP,SPON ADS,
88034P 90 9,,TENCENT MUSIC ENTMT GROUP,CALL,
88034P 95 9,,TENCENT MUSIC ENTMT GROUP,PUT,
880345 10 3,*,TENNANT CO,COM,
880345 90 3,,TENNANT CO,CALL,
880345 95 3,,TENNANT CO,PUT,
88066N 10 5,,TENON MEDICAL INC,COM,DELETED
88066N 11 3,,TENON MEDICAL INC,*W EXP 06/16/202,
88066N 20 4,,TENON MEDICAL INC,COM NEW,ADDED
88076W 10 3,*,TERADATA CORP DEL,COM,
88076W 90 3,,TERADATA CORP DEL,CALL,
88076W 95 3,,TERADATA CORP DEL,PUT,
880770 AG 7,,TERADYNE INC,NOTE  1.250%12/1,DELETED
880770 10 2,*,TERADYNE INC,COM,
880770 90 2,,TERADYNE INC,CALL,
880770 95 2,,TERADYNE INC,PUT,
880779 10 3,*,TEREX CORP NEW,COM,
880779 90 3,,TEREX CORP NEW,CALL,
880779 95 3,,TEREX CORP NEW,PUT,
88080T 10 4,*,TERAWULF INC,COM,
88080T 90 4,,TERAWULF INC,CALL,
88080T 95 4,,TERAWULF INC,PUT,
880881 10 7,*,TERNS PHARMACEUTICALS INC,COM,
880881 90 7,,TERNS PHARMACEUTICALS INC,CALL,
880881 95 7,,TERNS PHARMACEUTICALS INC,PUT,
880890 10 8,*,TERNIUM SA,SPONSORED ADS,
880890 90 8,,TERNIUM SA,CALL,
880890 95 8,,TERNIUM SA,PUT,
88105P 10 3,*,TERRAN ORBITAL CORPORATION,COM,
88105P 90 3,,TERRAN ORBITAL CORPORATION,CALL,
88105P 95 3,,TERRAN ORBITAL CORPORATION,PUT,
88105P 11 1,,TERRAN ORBITAL CORPORATION,*W EXP 03/25/202,
88145X 10 8,*,TERRITORIAL BANCORP INC,COM,
88224A 10 2,,TEXAS CAP TEX EQUITY INDEX E,TEXAS CAP TEX EQ,
88224A 30 0,,TEXAS CAP TEX EQUITY INDEX E,TEXAS OIL INDEX,ADDED
88224A 40 9,,TEXAS CAP TEX EQUITY INDEX E,TEXAS SMALL CAP,ADDED
88224Q 10 7,*,TEXAS CAP BANCSHARES INC,COM,
88224Q 90 7,,TEXAS CAP BANCSHARES INC,CALL,
88224Q 95 7,,TEXAS CAP BANCSHARES INC,PUT,
88231Q 10 8,,TEXAS COMMUNITY BANCSHARES I,COM,
882508 10 4,*,TEXAS INSTRS INC,COM,
882508 90 4,,TEXAS INSTRS INC,CALL,
882508 95 4,,TEXAS INSTRS INC,PUT,
88262P 10 2,,TEXAS PACIFIC LAND CORPORATI,COM,
882681 10 9,*,TEXAS ROADHOUSE INC,COM,
882681 90 9,,TEXAS ROADHOUSE INC,CALL,
882681 95 9,,TEXAS ROADHOUSE INC,PUT,
882927 10 6,,THEMES ETF TR,AIRLINES ETF,ADDED
882927 20 5,,THEMES ETF TR,CLOUD COMPUTING,ADDED
882927 30 4,,THEMES ETF TR,CYBERSECURITY,ADDED
882927 40 3,,THEMES ETF TR,EURO LUXURY ETF,ADDED
882927 50 2,,THEMES ETF TR,GENERATIVE ARTIF,ADDED
882927 60 1,,THEMES ETF TR,GLOBAL SYSTEMICA,ADDED
882927 70 0,,THEMES ETF TR,GOLD MINERS ETF,ADDED
882927 80 9,,THEMES ETF TR,NATURAL MONOPOLY,ADDED
882927 86 6,,THEMES ETF TR,US SM CAP CASH,ADDED
882927 87 4,,THEMES ETF TR,US R&D CHAMPIONS,ADDED
882927 88 2,,THEMES ETF TR,US CASH FLOW CHA,ADDED
883203 10 1,*,TEXTRON INC,COM,
883203 90 1,,TEXTRON INC,CALL,
883203 95 1,,TEXTRON INC,PUT,
88322Q 10 8,*,TG THERAPEUTICS INC,COM,
88322Q 90 8,,TG THERAPEUTICS INC,CALL,
88322Q 95 8,,TG THERAPEUTICS INC,PUT,
88331L 10 8,*,THE BEAUTY HEALTH COMPANY,COM CL A,
88337F 10 5,*,THE ODP CORP,COM,
88337F 90 5,,THE ODP CORP,CALL,
88337F 95 5,,THE ODP CORP,PUT,
88337K 30 2,*,THE9 LTD,SPON ADS NEW,DELETED
88337K 90 2,,THE9 LTD,CALL,DELETED
88337K 95 2,,THE9 LTD,PUT,DELETED
88337K 40 1,*,THE9 LTD,SPON ADS,ADDED
88337K 90 1,,THE9 LTD,CALL,ADDED
88337K 95 1,,THE9 LTD,PUT,ADDED
88338H 70 4,*,THERATECHNOLOGIES INC,COM NEW,
88338H 90 4,,THERATECHNOLOGIES INC,CALL,
88338H 95 4,,THERATECHNOLOGIES INC,PUT,
88338K 10 3,*,THE ONE GROUP HOSPITALITY IN,COM,
88338K 90 3,,THE ONE GROUP HOSPITALITY IN,CALL,
88338K 95 3,,THE ONE GROUP HOSPITALITY IN,PUT,
88338N 20 6,*,THERAPEUTICSMD INC,COM NEW,
88338N 90 6,,THERAPEUTICSMD INC,CALL,
88338N 95 6,,THERAPEUTICSMD INC,PUT,
88339J 10 5,*,THE TRADE DESK INC,COM CL A,
88339J 90 5,,THE TRADE DESK INC,CALL,
88339J 95 5,,THE TRADE DESK INC,PUT,
88339P AB 7,,THE REALREAL INC,NOTE  3.000% 6/1,
88339P AD 3,,THE REALREAL INC,NOTE  1.000% 3/0,
88339P 10 1,*,THE REALREAL INC,COM,
88339P 90 1,,THE REALREAL INC,CALL,
88339P 95 1,,THE REALREAL INC,PUT,
883556 10 2,*,THERMO FISHER SCIENTIFIC INC,COM,
883556 90 2,,THERMO FISHER SCIENTIFIC INC,CALL,
883556 95 2,,THERMO FISHER SCIENTIFIC INC,PUT,
88362L 20 9,,THERMOGENESIS HLDGS INC,COM NEW,
88362T 10 3,*,THERMON GROUP HLDGS INC,COM,
88362T 90 3,,THERMON GROUP HLDGS INC,CALL,
88362T 95 3,,THERMON GROUP HLDGS INC,PUT,
88634T 90 9,,TIDAL ETF TR II,CALL,ADDED
88634T 95 9,,TIDAL ETF TR II,PUT,ADDED
88634T 47 7,*,TIDAL ETF TR II,YIELDMAX AMD OPT,
88634T 90 7,,TIDAL ETF TR II,CALL,
88634T 95 7,,TIDAL ETF TR II,PUT,
88634T 51 9,,TIDAL ETF TR II,PINNACLE FOCUSED,
88634T 53 5,,TIDAL ETF TR II,NICHOLAS FIXED,
88634T 60 0,*,TIDAL ETF TR II,YIELDMAX INNOVAT,
88634T 90 0,,TIDAL ETF TR II,CALL,
88634T 95 0,,TIDAL ETF TR II,PUT,
88634T 70 9,*,TIDAL ETF TR II,TSLA OPTION INCM,
88634T 90 9,,TIDAL ETF TR II,CALL,
88634T 95 9,,TIDAL ETF TR II,PUT,
88634T 76 6,*,TIDAL ETF TR II,YIELDMAX SQ OPT,ADDED
88634T 90 6,,TIDAL ETF TR II,CALL,ADDED
88634T 95 6,,TIDAL ETF TR II,PUT,ADDED
88634T 77 4,*,TIDAL ETF TR II,YIELDMAX NVDA,
88634T 90 4,,TIDAL ETF TR II,CALL,
88634T 95 4,,TIDAL ETF TR II,PUT,
88634T 78 2,*,TIDAL ETF TR II,YIELDMAX NFLX,
88634T 90 2,,TIDAL ETF TR II,CALL,
88634T 95 2,,TIDAL ETF TR II,PUT,
88634T 79 0,*,TIDAL ETF TR II,YIELDMAX GOOGL,
88634T 90 0,,TIDAL ETF TR II,CALL,
88634T 95 0,,TIDAL ETF TR II,PUT,
88634T 81 6,*,TIDAL ETF TR II,YIELDMAX META,
88634T 90 6,,TIDAL ETF TR II,CALL,
88634T 95 6,,TIDAL ETF TR II,PUT,
88634T 82 4,*,TIDAL ETF TR II,YIELDMAX COIN OP,
88634T 90 4,,TIDAL ETF TR II,CALL,
88634T 95 4,,TIDAL ETF TR II,PUT,
88634T 84 0,*,TIDAL ETF TR II,YIELDMAX AMZN OP,
88634T 90 0,,TIDAL ETF TR II,CALL,
88634T 95 0,,TIDAL ETF TR II,PUT,
88636J 10 5,,TIDAL TR II,RTN STACKED BD,
88636J 20 4,,TIDAL TR II,RET STCKD GL STK,ADDED
88636J 30 3,,TIDAL TR II,CLOUTY TUNE ETF,DELETED
88636J 40 2,,TIDAL TR II,TACTICAL ADVANT,
88636J 50 1,,TIDAL TR II,DGA ABSOLUTE RET,
88636J 60 0,*,TIDAL TR II,ROUNDHILL GENER,
88636J 90 0,,TIDAL TR II,CALL,
88636J 95 0,,TIDAL TR II,PUT,
88636J 67 5,,TIDAL TR II,HILTON SMALL-MID,ADDED
88636J 70 9,,TIDAL TR II,VERIDIEN CLIMATE,
88636J 79 0,,TIDAL TR II,YIELDMAX AI OPT,ADDED
88636J 80 8,,TIDAL TR II,CNIC ICE US CARB,
88636J 81 6,,TIDAL TR II,RETURN STCKD US,
88636J 82 4,,TIDAL TR II,DEFIANCE R2000 E,ADDED
88636J 83 2,*,TIDAL TR II,DEFIANCE S&P 500,
88636J 90 2,,TIDAL TR II,CALL,
88636J 95 2,,TIDAL TR II,PUT,
88636J 84 0,*,TIDAL TR II,DEFIANCE OPTN IN,
88636J 90 0,,TIDAL TR II,CALL,
88636J 95 0,,TIDAL TR II,PUT,
88636J 85 7,,LISTED FD TR,GRIZZLE GROWTH E,
88636J 86 5,,TIDAL TR II,CBOE VALIDUS ETF,
88636J 87 3,,TIDAL TR II,BLUEPRINT CHESAP,
886364 20 7,*,TIDAL ETF TR,SOFI SELCT 500,
886364 90 7,,TIDAL ETF TR,CALL,
886364 95 7,,TIDAL ETF TR,PUT,
886364 26 4,,TIDAL ETF TR,GOTHAM SHORT STR,ADDED
886364 27 2,,TIDAL ETF TR,AZTLAN NORTH AME,ADDED
886364 28 0,,TIDAL ETF TR,SOFI ENHANCED YL,ADDED
886364 30 6,*,TIDAL ETF TR,SOFI NEXT 500,
886364 95 6,,TIDAL ETF TR,PUT,
886364 38 9,,TIDAL ETF TR,ACADEMY VETERAN,
886364 39 7,,TIDAL ETF TR,PRIVATE REAL EST,
886364 40 5,*,TIDAL ETF TR,SOFI SOCIAL 50,
886364 90 5,,TIDAL ETF TR,CALL,
886364 95 5,,TIDAL ETF TR,PUT,
886364 42 1,,TIDAL ETF TR,SUBVERSIVE CANNA,
886364 43 9,*,TIDAL ETF TR,UNLIMITED HFND,
886364 90 9,,TIDAL ETF TR,CALL,
886364 95 9,,TIDAL ETF TR,PUT,
886364 46 2,*,TIDAL ETF TR,GOD BLESS AMER,
886364 90 2,,TIDAL ETF TR,CALL,
886364 95 2,,TIDAL ETF TR,PUT,
886364 47 0,,TIDAL ETF TR,AZTLAN GBL STOCK,
886364 50 4,*,TIDAL ETF TR,SOFI BE YOUR OWN,
886364 90 4,,TIDAL ETF TR,CALL,
886364 95 4,,TIDAL ETF TR,PUT,
886364 51 2,*,TIDAL ETF TR,SOFI WEB 3 ETF,
886364 90 2,,TIDAL ETF TR,CALL,
886364 95 2,,TIDAL ETF TR,PUT,
886364 52 0,*,TIDAL ETF TR,GOTHAM 1000 VALU,
886364 90 0,,TIDAL ETF TR,CALL,
886364 95 0,,TIDAL ETF TR,PUT,
886364 55 3,*,TIDAL ETF TR,IONIC INFLATION,
886364 90 3,,TIDAL ETF TR,CALL,
886364 95 3,,TIDAL ETF TR,PUT,
886364 57 9,*,TIDAL ETF TR,NEWDAY OCN HEALT,
886364 90 9,,TIDAL ETF TR,CALL,
886364 95 9,,TIDAL ETF TR,PUT,
886364 58 7,*,TIDAL ETF TR,RESIDENTIAL REIT,
886364 90 7,,TIDAL ETF TR,CALL,
886364 95 7,,TIDAL ETF TR,PUT,
886364 59 5,*,TIDAL ETF TR,UPAR ULTRA RISK,
886364 90 5,,TIDAL ETF TR,CALL,
886364 95 5,,TIDAL ETF TR,PUT,
886364 60 3,*,TIDAL ETF TR,RPAR RISK PARI,
886364 90 3,,TIDAL ETF TR,CALL,
886364 95 3,,TIDAL ETF TR,PUT,
886364 63 7,,TIDAL ETF TR,FOLIOBEYOND ALTE,
886364 64 5,*,TIDAL ETF TR,SONICSHARES GBL,
886364 90 5,,TIDAL ETF TR,CALL,
886364 95 5,,TIDAL ETF TR,PUT,
886364 65 2,,TIDAL ETF TR,ATAC CREDIT ROT,
886364 66 0,*,TIDAL ETF TR,ZEGA BUY AND HED,
886364 90 0,,TIDAL ETF TR,CALL,
886364 95 0,,TIDAL ETF TR,PUT,
886364 67 8,,TIDAL ETF TR,ROBINSON ALTERNT,
886364 68 6,*,TIDAL ETF TR,SOFI SMART ENRGY,
886364 90 6,,TIDAL ETF TR,CALL,
886364 95 6,,TIDAL ETF TR,PUT,
886364 70 2,,TIDAL ETF TR,SP DWJNS SUKUK,
886364 71 0,,TIDAL ETF TR,AMEN CUST SATF,
886364 73 6,,TIDAL ETF TR,SOFI WEEKLY DIVI,
886364 74 4,*,TIDAL ETF TR,ACRUENCE ACTIVE,
886364 90 4,,TIDAL ETF TR,CALL,
886364 95 4,,TIDAL ETF TR,PUT,
886364 76 9,,TIDAL ETF TR,SP FUNDS S&P GBL,
886364 79 3,,TIDAL ETF TR,SOUND EQUITY DIV,
886364 80 1,,TIDAL ETF TR,SP FDS S&P 500,
886364 81 9,,TIDAL ETF TR,SOUND ENHANCED,
886364 83 5,*,TIDAL ETF TR,GOTHAM ENHNCD,
886364 90 5,,TIDAL ETF TR,CALL,
886364 95 5,,TIDAL ETF TR,PUT,
886364 84 3,,TIDAL ETF TR,ATAC US ROTATION,
886364 85 0,,TIDAL ETF TR,LEATHERBACK LNG,
886364 87 6,*,TIDAL ETF TR,ADASINA SOCIAL,
886364 90 6,,TIDAL ETF TR,CALL,
886364 95 6,,TIDAL ETF TR,PUT,
88642R 10 9,*,TIDEWATER INC NEW,COM,
88642R 90 9,,TIDEWATER INC NEW,CALL,
88642R 95 9,,TIDEWATER INC NEW,PUT,
88642R 17 4,,TIDEWATER INC NEW,*W EXP 11/14/202,
88675P 10 3,,TIGO ENERGY INC,COM,
88677Q 10 9,*,TILE SHOP HLDGS INC,COM,
88677Q 90 9,,TILE SHOP HLDGS INC,CALL,
88677Q 95 9,,TILE SHOP HLDGS INC,PUT,
88688T AC 4,,TILRAY BRANDS INC,NOTE  5.200% 6/1,
88688T 10 0,*,TILRAY BRANDS INC,COM,
88688T 90 0,,TILRAY BRANDS INC,CALL,
88688T 95 0,,TILRAY BRANDS INC,PUT,
886885 10 2,*,TILLYS INC,CL A,
886885 90 2,,TILLYS INC,CALL,
886885 95 2,,TILLYS INC,PUT,
88706T 10 8,*,TIM S A,SPONSORED ADR,
88706T 90 8,,TIM S A,CALL,
88706T 95 8,,TIM S A,PUT,
887080 20 8,,TIMBER PHARMACEUTICALS INC,COM NEW,DELETED
887098 10 1,*,TIMBERLAND BANCORP INC,COM,
887098 90 1,,TIMBERLAND BANCORP INC,CALL,
887098 95 1,,TIMBERLAND BANCORP INC,PUT,
887389 10 4,*,TIMKEN CO,COM,
887389 90 4,,TIMKEN CO,CALL,
887389 95 4,,TIMKEN CO,PUT,
887399 10 3,*,TIMKENSTEEL CORPORATION,COM,
887399 90 3,,TIMKENSTEEL CORPORATION,CALL,
887399 95 3,,TIMKENSTEEL CORPORATION,PUT,
887432 26 8,,TIMOTHY PLAN,PLAN MARKET NEUT,
887432 27 6,,TIMOTHY PLAN,HIGH DIVIDEND,
887432 28 4,,TIMOTHY PLAN,US LARGE MID CP,
887432 32 6,,TIMOTHY PLAN,HIG DV STK ETF,
887432 33 4,,TIMOTHY PLAN,INTL ETF,
891160 50 9,*,TORONTO DOMINION BK ONT,COM NEW,
891160 90 9,,TORONTO DOMINION BK ONT,CALL,
891160 95 9,,TORONTO DOMINION BK ONT,PUT,
89142B 10 7,*,TORRID HLDGS INC,COM,
89142B 90 7,,TORRID HLDGS INC,CALL,
89142B 95 7,,TORRID HLDGS INC,PUT,
89147L 88 6,,TORTOISE ENERGY INFRA CORP,COM,
89147X 10 4,,TORTOISE PWR & ENERGY INFRAS,COM,
89148B 20 0,,TORTOISE MIDSTRM ENERGY FD I,COM,
89148H 20 7,,TORTOISE PIPELINE & ENERGY F,COM,
89148K 20 0,,TORTOISE ENERGY INDEPENDENC,COM,
89151E 10 9,*,TOTALENERGIES SE,SPONSORED ADS,
89151E 90 9,,TOTALENERGIES SE,CALL,
89151E 95 9,,TOTALENERGIES SE,PUT,
89157D 10 5,,TOURMALINE BIO INC,COM,ADDED
89157G 11 6,,TOUGHBUILT INDS INC,*W EXP 11/14/202,DELETED
89157G 88 4,,TOUGHBUILT INDS INC,COM,
89157W 10 3,,TOUCHSTONE ETF TRUST,DIVIDEND SELECT,
89157W 20 2,,TOUCHSTONE ETF TRUST,STRATG INCM OPPR,
89157W 30 1,,TOUCHSTONE ETF TRUST,ULTRA SHORT INCM,
89157W 40 0,,TOUCHSTONE ETF TRUST,US LRG CAP FOC,
89157W 50 9,,TOUCHSTONE ETF TRUST,CLIMATE TRAN ETF,
89157W 60 8,,TOUCHSTONE ETF TRUST,DYNAMIC INTERNAT,ADDED
89157W 70 7,,TOUCHSTONE ETF TRUST,SECURITIZED INCO,
89214P 10 9,*,TOWNEBANK PORTSMOUTH VA,COM,
89214P 90 9,,TOWNEBANK PORTSMOUTH VA,CALL,
89214P 95 9,,TOWNEBANK PORTSMOUTH VA,PUT,
892231 10 1,*,TOWNSQUARE MEDIA INC,CL A,
892231 90 1,,TOWNSQUARE MEDIA INC,CALL,
892231 95 1,,TOWNSQUARE MEDIA INC,PUT,
892331 30 7,*,TOYOTA MOTOR CORP,ADS,
892331 90 7,,TOYOTA MOTOR CORP,CALL,
892356 10 6,*,TRACTOR SUPPLY CO,COM,
892356 90 6,,TRACTOR SUPPLY CO,CALL,
892356 95 6,,TRACTOR SUPPLY CO,PUT,
89237H 20 9,*,TRACON PHARMACEUTICALS INC,COM NEW,
89237H 90 9,,TRACON PHARMACEUTICALS INC,CALL,
89237H 95 9,,TRACON PHARMACEUTICALS INC,PUT,
892672 10 6,*,TRADEWEB MKTS INC,CL A,
892672 90 6,,TRADEWEB MKTS INC,CALL,
892672 95 6,,TRADEWEB MKTS INC,PUT,
89268A 10 7,,TRADEUP ACQUISITION CORP,COM,DELETED
89268A 11 5,,TRADEUP ACQUISITION CORP,*W EXP 07/19/202,DELETED
89268A 20 6,,TRADEUP ACQUISITION CORP,UNIT 10/15/2027,DELETED
89269P 10 3,*,TRAEGER INC,COMMON STOCK,
89269P 90 3,,TRAEGER INC,CALL,
89269P 95 3,,TRAEGER INC,PUT,
89278D 10 9,,TRAILBLAZER MERGER CORP I,CL A,
89278D 12 5,,TRAILBLAZER MERGER CORP I,RIGHT 04/21/2028,
892918 10 3,*,TRANSACT TECHNOLOGIES INC,COM,
892918 90 3,,TRANSACT TECHNOLOGIES INC,CALL,
892918 95 3,,TRANSACT TECHNOLOGIES INC,PUT,
89301B 10 4,,ZALATORIS ACQUISITION CORP,COM CL A,
89301B 11 2,,ZALATORIS ACQUISITION CORP,*W EXP 99/99/999,
89301B 20 3,,ZALATORIS ACQUISITION CORP,UNIT 99/99/9999,
89346D 10 7,*,TRANSALTA CORP,COM,
89346D 90 7,,TRANSALTA CORP,CALL,
89346D 95 7,,TRANSALTA CORP,PUT,
893529 10 7,,TRANSCAT INC,COM,
89357L 20 4,,TRANSCODE THERAPEUTICS INC,COM NEW,
893617 20 9,,TRANSCONTINENTAL RLTY INVS,COM NEW,
893641 10 0,*,TRANSDIGM GROUP INC,COM,
893641 90 0,,TRANSDIGM GROUP INC,CALL,
893641 95 0,,TRANSDIGM GROUP INC,PUT,
89377M 10 9,*,TRANSMEDICS GROUP INC,COM,
89484T 90 4,,TREMOR INTL LTD,CALL,
